sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
27,18,4,5,2,1,1,6,4,11,4,1,9,7.6,15,5.3,11,5.7,0,,9.0,4,8.0,3,5.7,2,4.5,0,,6.8,0,,39,6.1,26.0,4,8.5,12,5.3,9,6.0,0,,5.7,16,5.9,9,5.5,17,5.8
27,17,5,3,4,0,3,3,10,9,0,1,6,8.1,14,5.1,11,4.5,0,,6.0,2,8.0,2,6.0,2,5.5,0,,7.5,0,,38,5.3,25.0,3,7.3,12,5.0,9,4.5,0,,5.1,12,4.0,9,4.6,16,5.5
29,3,7,7,2,4,4,6,4,2,3,0,7,7.4,20,3.9,6,4.5,0,,9.0,2,9.0,5,3.4,2,7.5,0,,5.0,0,,39,5.2,25.0,4,8.0,15,4.2,4,3.5,0,,4.6,11,3.4,11,4.0,18,5.2
27,16,2,2,2,0,3,4,6,5,1,0,3,7.7,12,4.9,5,5.4,0,,3.0,1,10.0,2,6.5,0,,0,,7.7,0,,25,5.5,17.0,1,7.0,10,4.7,5,5.4,0,,5.1,8,4.0,9,5.1,10,5.9
27,15,2,11,1,0,0,6,4,9,5,2,9,8.3,14,6.3,10,7.2,0,,9.0,2,10.0,5,7.3,2,10.0,0,,9.2,0,,40,7.2,24.0,6,8.1,9,6.1,8,6.4,0,,6.8,14,6.5,9,6.2,17,7.5
27,14,2,5,1,3,2,0,7,7,3,1,4,8.8,13,6.3,9,5.5,0,,4.0,1,10.0,3,7.7,0,,0,,8.2,0,,31,6.3,23.0,2,9.0,10,6.1,9,5.5,0,,5.8,9,4.8,12,5.3,16,6.4
27,12,8,13,1,0,1,9,6,7,3,3,11,8.2,19,5.0,14,5.2,0,,12.0,5,8.6,5,2.0,2,5.5,0,,5.2,0,,51,6.4,32.0,5,8.1,14,5.7,12,5.5,0,,5.9,16,3.6,9,5.8,24,6.6
27,10,4,4,2,1,2,6,10,4,3,4,10,7.4,15,5.4,7,5.5,0,,5.0,3,6.7,2,7.0,0,,0,,7.2,0,,40,5.9,27.0,6,7.6,13,5.3,7,5.5,0,,5.7,13,4.3,12,5.4,17,6.5
27,11,4,8,3,1,1,4,12,5,3,2,8,7.6,20,5.5,9,6.6,0,,6.0,2,8.0,4,6.5,0,,0,,6.9,0,,43,6.2,32.0,5,8.6,16,5.3,9,6.6,0,,6.1,11,5.5,10,5.2,24,6.4
27,13,4,2,1,3,0,5,4,0,2,1,4,6.2,7,2.3,6,5.2,0,,2.0,1,10.0,1,8.0,0,,0,,9.0,0,,22,5.0,15.0,2,6.0,6,2.2,6,5.2,0,,4.0,9,3.0,6,5.1,6,4.9
27,9,4,6,2,0,4,2,7,5,3,1,6,8.2,16,4.6,8,5.7,0,,4.0,1,10.0,3,8.0,0,,0,,8.5,0,,34,6.0,25.0,4,8.5,13,4.4,7,5.7,0,,5.3,9,3.2,9,6.1,19,6.3
27,7,2,9,0,4,2,4,10,4,0,0,6,7.1,16,4.7,8,6.6,0,,4.0,1,10.0,2,5.0,1,6.0,0,,6.5,0,,35,6.3,26.0,4,7.8,14,4.8,7,6.7,0,,5.9,11,4.4,10,5.5,17,6.7
27,8,2,14,4,1,1,5,11,15,4,3,10,8.4,28,5.6,13,6.5,0,,19.0,5,10.0,10,6.0,4,8.8,0,,7.3,0,,60,6.9,32.0,4,8.0,18,5.4,9,6.4,0,,6.0,26,6.2,15,5.6,22,6.2
27,5,5,3,0,2,2,2,7,6,8,1,6,7.9,18,5.2,8,5.8,0,,9.0,1,10.0,6,5.6,2,4.5,0,,5.9,0,,36,6.0,23.0,4,6.0,12,5.1,6,6.2,0,,5.7,14,5.0,11,5.1,16,6.0
27,6,7,5,2,1,4,6,1,6,0,2,6,6.6,14,3.3,8,5.6,0,,4.0,1,10.0,3,6.3,0,,0,,7.2,0,,34,5.2,23.0,4,5.8,10,3.1,8,5.6,0,,4.5,16,3.4,9,3.8,10,6.0
27,4,2,2,1,0,2,7,8,4,3,1,6,7.9,13,4.7,8,6.6,0,,3.0,1,10.0,2,6.0,0,,0,,7.3,0,,30,5.9,24.0,4,8.0,11,4.7,8,6.6,0,,5.9,10,4.5,8,5.7,15,6.4
27,2,2,8,0,0,1,3,5,11,3,2,6,8.7,16,6.2,9,6.5,0,,4.0,1,10.0,3,9.0,0,,0,,9.2,0,,35,7.1,27.0,4,9.0,13,5.9,9,6.5,0,,6.6,10,5.3,10,6.3,19,7.0
27,3,6,5,0,2,2,7,5,4,3,0,8,8.0,13,4.6,8,4.6,0,,5.0,3,9.3,2,5.5,0,,0,,7.8,0,,34,5.5,24.0,4,6.0,11,4.5,8,4.6,0,,5.0,12,4.3,11,4.9,14,5.9
29,2,8,24,1,1,1,2,0,9,9,5,18,9.0,24,6.6,9,4.6,0,,19.0,9,9.4,9,6.9,1,7.0,0,,8.2,0,,60,7.5,33.0,8,8.4,15,6.5,8,4.2,0,,6.2,15,5.7,13,6.8,26,7.1
21,20,7,61,1,0,0,0,1,9,19,16,36,8.1,44,9.0,15,8.1,0,,15.0,8,5.9,3,6.7,3,9.0,0,,6.5,0,,114,8.7,80.0,27,8.6,40,9.0,12,8.1,0,,8.9,41,8.7,15,7.8,46,8.8
22,19,0,5,1,2,2,4,8,3,5,0,3,6.3,14,6.6,7,5.2,0,,3.0,1,7.0,1,10.0,1,8.0,0,,8.3,0,,30,6.5,20.0,1,5.0,13,6.2,6,5.2,0,,5.8,9,5.3,9,5.4,14,6.6
22,18,6,2,7,6,1,3,1,1,1,0,3,5.0,10,2.6,13,2.6,0,,3.0,0,,1,2.0,2,2.5,0,,2.3,0,,28,3.5,22.0,2,6.5,9,2.7,11,2.6,0,,2.7,8,2.9,6,3.6,17,2.5
20,20,1,7,0,1,0,4,1,5,12,5,7,7.6,15,7.7,8,8.2,0,,6.0,1,7.0,3,6.3,2,9.0,0,,7.0,0,,36,7.7,23.0,5,8.6,12,7.9,6,8.1,0,,8.1,14,8.0,9,6.4,13,7.8
22,20,1,4,0,0,1,3,5,3,0,1,5,6.5,7,6.5,5,6.6,0,,1.0,0,,0,,1,6.0,0,,6.0,0,,18,6.7,15.0,4,7.2,7,6.5,4,6.8,0,,6.6,7,6.4,7,5.7,9,6.5
20,19,2,4,0,1,2,4,6,6,3,4,5,6.5,17,7.2,6,7.2,0,,5.0,1,7.0,3,6.7,1,8.0,0,,6.2,0,,32,6.6,22.0,3,5.3,14,7.4,5,7.2,0,,7.3,9,7.6,14,6.4,15,6.9
20,18,1,10,0,2,1,5,2,9,5,3,10,7.9,15,7.7,7,6.8,0,,6.0,3,10.0,2,4.5,1,8.0,0,,5.9,0,,38,7.3,25.0,6,7.9,13,8.1,6,6.7,0,,7.8,11,7.8,14,6.6,17,7.2
18,20,1,0,0,0,2,5,6,3,4,1,4,5.8,7,5.2,7,7.3,0,,3.0,0,,1,1.0,2,7.0,0,,5.0,0,,22,6.0,15.0,4,5.8,6,5.9,5,7.3,0,,6.5,5,6.6,9,5.6,11,6.0
18,1,2,5,1,0,0,9,3,8,3,0,7,6.3,11,6.1,6,6.1,0,,6.0,1,5.0,4,6.5,1,7.0,0,,5.5,0,,31,6.4,17.0,5,6.9,7,6.2,5,6.0,0,,6.4,6,6.9,9,6.0,13,5.8
16,20,2,0,0,2,1,6,7,5,5,1,6,7.2,11,5.6,7,5.4,0,,6.0,1,6.0,4,4.2,1,8.0,0,,4.6,0,,29,5.8,17.0,4,7.2,7,6.3,6,5.2,0,,6.3,3,6.7,12,5.3,18,5.6
16,17,1,2,0,0,1,4,3,9,5,1,6,7.3,12,6.3,4,7.0,0,,6.0,0,,5,4.9,1,8.0,0,,5.1,0,,26,6.7,15.0,5,7.4,7,7.0,3,6.7,0,,7.1,5,6.4,10,6.0,13,6.8
16,19,2,2,1,0,2,4,3,6,2,1,4,7.2,8,5.9,7,5.2,0,,4.0,0,,3,4.0,1,8.0,0,,5.0,0,,23,6.0,15.0,4,7.2,5,7.0,6,5.0,0,,6.4,4,5.0,10,5.4,13,6.5
16,18,5,9,1,2,2,8,4,3,2,2,6,7.4,15,4.9,9,5.3,0,,4.0,0,,3,4.0,1,8.0,0,,5.0,0,,38,6.1,25.0,5,8.5,12,5.2,8,5.1,0,,6.0,11,5.9,11,4.4,17,5.6
16,16,3,5,0,0,0,3,2,11,5,2,6,7.2,11,6.8,8,5.8,0,,4.0,0,,3,5.3,1,9.0,0,,6.2,0,,31,6.9,20.0,5,7.3,8,7.4,7,5.6,0,,6.9,8,6.6,9,6.8,14,6.3
16,13,3,1,0,2,1,5,5,3,0,4,5,4.9,8,5.4,7,5.4,0,,3.0,0,,2,3.0,1,9.0,0,,5.0,0,,24,5.6,16.0,4,3.8,6,6.4,6,5.1,0,,5.4,5,6.6,9,5.3,12,4.3
16,14,2,5,1,0,3,4,5,12,9,5,9,7.5,14,7.3,14,6.4,0,,8.0,1,7.0,3,4.3,4,5.0,0,,5.2,0,,46,6.9,28.0,7,7.7,11,7.8,10,6.4,0,,7.3,11,6.9,12,6.1,22,7.0
16,15,1,6,0,2,3,4,4,9,3,2,7,7.7,13,6.1,7,6.3,0,,6.0,1,10.0,4,5.8,1,8.0,0,,6.1,0,,34,6.7,20.0,5,7.8,9,6.2,6,6.2,0,,6.5,7,5.9,13,6.1,17,6.4
16,12,1,2,0,1,0,4,4,9,3,0,5,7.2,8,5.1,5,6.9,0,,3.0,0,,2,3.0,1,8.0,0,,4.7,0,,24,6.5,14.0,4,7.2,6,5.8,4,6.8,0,,6.6,4,6.2,10,5.5,11,6.1
16,11,1,2,0,0,1,6,5,13,2,1,4,7.0,13,6.1,7,6.8,0,,5.0,0,,4,4.8,1,9.0,0,,4.9,0,,31,6.5,18.0,3,7.0,9,6.7,6,6.6,0,,6.7,7,5.9,11,5.6,15,6.6
16,9,1,0,0,0,3,9,3,2,5,1,4,7.0,7,4.7,7,6.4,0,,3.0,0,,2,3.0,1,8.0,0,,4.7,0,,24,5.8,14.0,3,7.7,5,5.2,6,6.3,0,,6.3,5,5.0,11,4.8,11,6.1
16,10,1,2,0,2,0,6,3,4,5,2,4,8.2,9,6.2,7,6.2,0,,4.0,0,,3,4.7,1,9.0,0,,5.8,0,,25,6.4,16.0,4,8.2,6,6.9,6,6.1,0,,7.0,4,6.2,14,5.8,14,6.7
16,8,2,1,0,0,0,4,7,8,7,6,8,7.4,13,6.6,9,6.9,0,,7.0,1,8.0,2,3.0,4,6.8,0,,5.0,0,,35,6.9,22.0,6,6.9,11,7.1,5,7.2,0,,7.2,9,5.9,11,6.5,19,7.2
16,6,2,4,0,0,1,3,3,4,2,1,2,9.5,7,5.9,7,5.9,0,,3.0,0,,2,3.0,1,8.0,0,,4.7,0,,20,6.6,13.0,2,9.5,5,7.0,6,5.8,0,,7.0,4,5.8,10,6.1,10,6.6
16,5,1,2,0,0,0,6,5,7,1,0,5,6.7,8,5.6,5,6.5,0,,6.0,1,10.0,3,4.0,2,7.5,0,,5.2,0,,22,6.3,11.0,3,6.7,5,6.5,3,6.3,0,,6.4,6,6.0,10,5.7,9,6.1
16,3,1,2,1,0,0,4,8,6,2,2,5,7.1,8,5.8,7,6.4,0,,3.0,0,,2,3.0,1,8.0,0,,4.7,0,,26,6.4,16.0,4,7.5,6,6.4,6,6.3,0,,6.7,4,6.2,12,6.3,12,6.2
16,2,1,2,0,1,0,4,1,11,2,1,5,7.3,9,6.0,5,6.7,0,,4.0,0,,3,4.3,1,9.0,0,,5.5,0,,23,6.6,15.0,5,7.3,6,7.1,4,6.8,0,,7.1,6,7.3,10,5.8,10,6.0
16,4,3,17,0,0,0,5,0,8,18,3,11,8.6,19,7.2,13,8.3,0,,8.0,0,,4,5.2,3,9.3,0,,6.6,0,,54,7.9,33.0,9,8.5,14,7.9,10,8.1,0,,8.2,10,7.4,14,6.9,24,7.8
16,1,1,9,0,2,0,7,1,14,7,4,8,7.8,17,7.5,11,7.0,0,,7.0,1,10.0,5,5.6,1,9.0,0,,6.8,0,,45,7.3,28.0,6,7.4,12,7.9,10,6.9,0,,7.5,13,7.2,12,5.9,18,7.4
16,7,4,6,0,0,0,6,2,6,6,5,7,8.3,14,6.9,9,6.6,0,,4.0,1,10.0,2,3.0,1,8.0,0,,6.0,0,,35,6.9,25.0,5,8.4,12,7.5,8,6.5,0,,7.5,9,6.7,11,6.3,18,7.2
17,19,1,5,0,0,0,4,3,8,6,6,6,7.2,12,7.8,12,7.3,0,,5.0,0,,1,7.0,4,8.8,0,,7.7,0,,33,7.5,24.0,6,7.2,10,8.0,8,7.0,0,,7.6,8,6.6,9,6.9,18,7.8
17,18,4,10,0,0,2,5,3,6,3,8,13,7.2,9,7.2,13,7.8,0,,5.0,2,7.0,1,6.0,2,9.0,0,,7.1,0,,41,7.1,29.0,10,8.0,8,7.2,11,7.7,0,,7.7,10,7.2,12,6.9,21,7.8
17,20,1,3,0,0,2,4,3,7,2,1,4,6.5,7,7.3,8,6.2,0,,5.0,1,1.0,1,6.0,3,8.3,0,,4.7,0,,23,6.6,14.0,3,8.3,6,7.6,5,6.1,0,,7.2,3,8.7,11,5.7,14,6.5
17,15,1,5,0,0,0,2,3,6,4,4,5,8.0,9,8.3,6,7.8,0,,2.0,0,,0,,2,9.0,0,,9.0,0,,25,7.6,18.0,5,8.0,9,8.3,4,7.8,0,,8.1,4,5.8,10,7.0,14,8.2
17,17,0,9,0,0,3,3,0,10,5,4,6,7.6,11,8.1,10,7.4,0,,4.0,1,10.0,1,7.0,2,9.0,0,,8.8,0,,34,7.7,22.0,4,7.8,10,8.2,8,7.4,0,,7.8,7,7.1,11,6.4,17,8.1
17,16,0,1,0,0,3,4,4,6,4,0,3,6.3,6,5.9,8,6.5,0,,3.0,0,,1,6.0,2,9.0,0,,8.0,0,,22,6.4,14.0,3,6.3,5,5.9,6,6.4,0,,6.3,3,6.3,9,5.6,12,6.4
17,14,4,21,0,0,0,2,5,3,6,6,13,6.9,15,8.1,12,7.7,0,,15.0,5,4.8,4,9.8,6,9.1,0,,8.0,0,,47,8.0,24.0,7,7.1,11,7.9,6,6.6,0,,7.5,9,6.5,10,7.3,27,7.9
17,8,3,1,1,2,4,5,5,3,0,0,7,4.8,7,4.4,6,5.1,0,,4.0,0,,2,4.0,2,8.5,0,,6.2,0,,24,4.7,15.0,6,5.5,5,4.2,4,4.8,0,,4.9,7,4.4,9,5.0,10,5.2
17,11,0,2,1,1,0,4,4,7,8,1,7,6.8,8,7.4,8,7.1,0,,3.0,0,,0,,3,8.0,0,,8.0,0,,28,6.8,19.0,6,7.4,8,7.4,5,7.1,0,,7.3,6,6.0,8,6.5,13,7.7
17,12,0,4,0,0,0,4,1,6,4,1,3,7.0,6,8.5,6,6.4,0,,2.0,0,,0,,2,9.0,0,,9.0,0,,20,7.5,13.0,3,7.0,6,8.5,4,6.2,0,,7.3,2,7.5,9,6.9,11,7.4
17,9,3,13,0,0,0,5,0,1,10,7,12,8.4,9,8.4,10,8.6,0,,8.0,2,3.0,2,8.5,3,9.3,0,,6.7,0,,39,7.9,23.0,9,9.0,7,8.4,7,8.3,0,,8.7,5,7.8,11,7.1,20,8.6
17,10,2,7,0,0,0,2,2,8,6,3,9,7.5,9,7.6,7,7.9,0,,5.0,1,8.0,2,8.5,2,9.0,0,,7.7,0,,30,7.5,20.0,8,7.4,7,7.7,5,7.8,0,,7.8,7,7.4,10,7.0,14,7.9
17,13,1,8,0,0,0,4,3,2,7,3,5,5.8,10,8.7,6,7.4,0,,6.0,2,3.0,1,10.0,2,9.0,0,,4.6,0,,28,7.7,16.0,3,7.3,9,8.7,4,7.2,0,,8.0,4,8.0,11,6.5,16,7.7
17,6,2,17,0,0,2,4,2,7,8,4,10,7.8,14,8.9,10,7.3,0,,8.0,1,1.0,3,10.0,3,8.7,0,,5.7,0,,46,7.8,26.0,8,8.2,11,8.8,7,7.2,0,,8.3,8,7.8,15,7.0,20,7.8
17,7,1,9,0,0,0,4,7,8,5,5,12,7.4,8,7.2,9,6.4,0,,5.0,1,1.0,2,8.0,2,9.5,0,,6.8,0,,39,7.5,23.0,10,7.6,6,7.4,7,6.3,0,,7.2,7,6.3,12,7.1,14,7.4
17,5,0,5,0,1,0,2,3,10,3,3,9,7.5,8,7.9,6,6.9,0,,2.0,0,,0,,2,9.0,0,,9.0,0,,27,7.5,20.0,8,7.7,8,7.9,4,6.8,0,,7.5,5,7.5,8,6.6,13,7.8
17,3,0,2,0,0,2,3,4,5,6,1,5,7.6,7,6.7,7,6.4,0,,2.0,0,,0,,2,9.0,0,,9.0,0,,23,6.9,16.0,4,7.5,7,6.7,5,6.2,0,,6.7,2,7.0,9,6.1,13,6.9
17,4,0,2,0,0,0,2,3,8,6,8,6,7.4,10,7.8,8,7.9,0,,4.0,0,,2,8.5,2,8.5,0,,8.5,0,,29,7.7,19.0,5,7.5,8,7.7,6,7.9,0,,7.7,4,7.0,9,6.9,16,8.2
17,1,2,11,0,1,2,6,10,10,8,3,12,7.3,18,7.3,13,6.5,0,,5.0,0,,2,8.0,3,9.3,0,,9.0,0,,53,7.1,37.0,11,7.4,16,7.3,10,5.9,0,,7.0,10,6.4,17,6.9,25,7.0
17,2,0,5,0,0,2,3,3,8,5,4,9,8.1,9,6.9,7,6.6,0,,2.0,0,,0,,2,9.0,0,,9.0,0,,30,7.4,22.0,8,8.3,9,6.9,5,6.5,0,,7.3,6,6.5,12,7.0,13,7.3
18,19,1,15,4,1,2,4,6,7,3,3,8,8.5,18,7.5,11,6.3,0,,5.0,1,9.0,3,5.7,1,8.0,0,,6.4,0,,46,7.1,31.0,6,8.3,15,7.8,10,6.2,0,,7.4,8,6.0,15,6.6,26,7.6
18,18,1,0,0,0,1,6,5,4,4,2,3,7.3,9,5.3,6,6.7,0,,2.0,0,,1,1.0,1,8.0,0,,4.5,0,,23,6.2,15.0,2,7.5,8,5.8,5,6.6,0,,6.4,4,6.5,9,5.3,11,6.2
18,17,1,6,0,1,0,6,3,8,6,0,6,8.1,12,6.6,7,7.8,0,,4.0,1,10.0,2,4.0,1,8.0,0,,6.5,0,,31,7.0,20.0,4,8.2,10,7.1,6,7.8,0,,7.6,8,6.6,13,6.8,15,7.6
18,16,1,7,1,0,0,3,2,8,4,0,6,7.1,8,7.2,6,7.1,0,,3.0,1,10.0,1,1.0,1,8.0,0,,6.3,0,,26,7.2,16.0,4,7.8,7,8.1,5,7.0,0,,7.6,6,7.5,9,6.3,11,7.4
18,13,1,14,1,2,0,2,2,7,7,5,8,8.9,14,8.0,10,7.3,0,,5.0,0,,1,1.0,4,7.2,0,,5.3,0,,41,7.8,25.0,7,8.6,12,8.4,6,7.1,0,,8.2,8,7.7,13,6.7,19,7.7
18,8,2,1,0,2,2,4,8,4,2,1,4,6.8,10,4.8,7,5.8,0,,2.0,0,,1,1.0,1,8.0,0,,4.5,0,,26,5.7,18.0,3,6.3,9,5.4,6,5.6,0,,5.6,4,6.2,11,4.8,14,5.2
18,10,1,2,0,2,0,4,6,10,1,2,4,6.5,11,6.0,6,6.1,0,,3.0,0,,2,4.0,1,7.0,0,,5.0,0,,28,6.4,17.0,3,6.7,9,6.6,5,6.1,0,,6.5,4,6.2,11,5.0,14,6.1
18,9,1,1,0,0,0,5,6,6,2,0,3,8.3,8,5.3,6,6.7,0,,2.0,0,,1,1.0,1,8.0,0,,4.5,0,,21,6.2,15.0,3,8.3,7,5.8,5,6.7,0,,6.5,3,6.3,10,5.6,11,6.0
18,11,1,7,0,0,0,6,4,10,3,2,4,7.8,14,7.5,6,5.9,0,,2.0,0,,1,1.0,1,8.0,0,,4.5,0,,33,7.2,21.0,3,8.0,13,7.9,5,5.8,0,,7.3,7,7.2,15,6.4,14,7.0
18,12,1,1,3,1,4,4,3,9,2,1,2,7.0,11,5.3,8,6.2,0,,3.0,0,,2,4.0,1,8.0,0,,5.3,0,,29,5.6,18.0,2,7.0,9,5.7,7,6.1,0,,6.0,5,5.2,11,4.9,14,6.0
18,7,2,0,0,0,5,6,5,1,0,1,3,4.0,7,3.9,5,5.7,0,,2.0,0,,1,1.0,1,9.0,0,,5.0,0,,20,4.9,13.0,3,4.0,6,4.4,4,5.5,0,,4.9,5,4.1,10,4.7,8,5.0
18,5,1,2,0,0,0,4,5,8,6,1,5,7.0,11,6.9,5,6.9,0,,2.0,0,,1,1.0,1,8.0,0,,4.5,0,,27,6.8,18.0,4,7.0,10,7.3,4,6.8,0,,7.1,5,6.1,13,6.7,12,7.1
18,6,0,7,0,3,0,4,5,7,4,2,7,9.0,9,6.7,7,6.4,0,,1.0,0,,0,,1,8.0,0,,8.0,0,,32,7.1,21.0,6,9.4,9,6.7,6,6.3,0,,7.3,5,7.1,14,6.3,14,7.1
18,4,2,9,0,1,0,3,2,6,10,4,7,8.3,17,7.9,5,7.4,0,,6.0,0,,5,6.4,1,8.0,0,,6.5,0,,37,7.6,22.0,6,8.3,12,8.3,4,7.2,0,,8.2,6,8.1,10,6.9,18,7.4
18,2,2,5,0,0,2,7,8,2,6,1,5,5.7,14,6.3,9,7.2,0,,5.0,2,5.5,2,4.0,1,8.0,0,,3.5,0,,33,6.5,22.0,2,7.5,12,6.6,8,7.1,0,,6.9,8,6.7,17,5.8,17,6.4
20,17,1,2,0,1,2,2,1,7,3,5,4,7.0,12,7.0,6,7.4,0,,4.0,0,,3,5.7,1,8.0,0,,6.2,0,,24,6.9,17.0,3,7.0,9,7.3,5,7.4,0,,7.3,8,7.6,8,6.8,11,6.7
20,15,1,2,0,1,2,4,2,5,3,4,4,6.8,11,6.6,7,6.8,0,,3.0,0,,2,4.5,1,8.0,0,,5.7,0,,24,6.6,18.0,3,7.3,9,6.9,6,6.7,0,,6.9,6,7.6,8,5.9,13,6.3
20,16,1,6,0,0,1,5,2,6,5,6,5,8.0,15,7.5,8,8.1,0,,6.0,1,10.0,3,5.3,2,9.0,0,,6.5,0,,32,7.4,21.0,3,8.3,12,7.9,6,8.1,0,,8.1,10,7.7,10,6.9,15,7.8
18,3,2,6,0,0,0,7,5,10,2,2,5,7.4,17,6.5,8,7.4,0,,4.0,0,,2,4.0,2,9.0,0,,6.5,0,,34,6.8,25.0,4,7.0,15,7.0,6,7.1,0,,7.2,9,6.9,11,6.3,18,6.9
20,14,3,4,1,1,1,4,4,5,4,2,6,5.5,12,6.0,8,7.0,0,,5.0,1,1.0,3,5.3,1,8.0,0,,4.6,0,,29,6.2,20.0,4,7.2,9,6.3,7,7.0,0,,6.7,8,6.4,12,6.4,14,5.9
20,13,4,4,0,1,1,6,5,1,2,3,5,6.3,11,6.3,6,5.5,0,,4.0,1,5.0,2,4.5,1,8.0,0,,5.5,0,,27,6.0,17.0,3,8.3,9,6.7,5,5.4,0,,6.7,6,7.4,13,6.3,12,5.5
20,12,2,4,0,0,2,2,0,6,7,3,4,8.0,14,7.2,5,7.8,0,,4.0,0,,3,5.3,1,10.0,0,,6.5,0,,26,7.1,18.0,3,8.3,11,7.6,4,8.0,0,,7.8,8,7.4,7,6.7,12,7.6
20,10,2,4,0,0,0,0,1,4,11,4,4,8.0,14,8.1,5,7.6,0,,4.0,0,,3,5.7,1,10.0,0,,6.8,0,,26,7.7,18.0,3,8.3,11,8.5,4,7.5,0,,8.2,9,8.3,7,7.0,9,7.6
20,11,2,4,0,0,2,3,3,4,4,2,3,8.0,12,7.4,7,6.2,0,,3.0,0,,2,4.5,1,8.0,0,,5.7,0,,24,6.7,18.0,2,9.0,10,7.8,6,6.0,0,,7.5,7,7.8,8,6.9,11,6.3
20,9,4,1,0,0,3,3,3,4,4,3,4,6.2,11,6.5,6,6.4,0,,3.0,0,,2,4.5,1,8.0,0,,5.7,0,,25,5.8,17.0,3,7.0,9,7.0,5,6.2,0,,6.8,6,7.6,10,5.7,11,5.8
20,8,1,10,0,2,3,1,1,9,8,4,9,8.4,18,7.6,7,6.8,0,,6.0,1,8.0,4,5.0,1,8.0,0,,6.3,0,,39,7.5,27.0,7,8.7,14,7.9,6,6.7,0,,8.0,11,7.9,13,6.9,16,6.8
20,7,2,4,1,1,2,3,2,6,4,6,7,5.8,16,7.4,4,7.2,0,,8.0,2,5.5,5,7.0,1,8.0,0,,6.1,0,,31,6.8,18.0,4,6.5,11,7.5,3,7.0,0,,7.2,9,7.9,10,5.6,14,6.0
20,2,2,2,1,0,0,0,4,11,3,4,6,7.1,12,6.8,6,7.2,0,,4.0,0,,3,5.3,1,8.0,0,,6.0,0,,27,6.9,19.0,5,7.2,9,7.3,5,7.2,0,,7.3,8,7.6,7,6.4,12,6.5
20,6,3,3,1,0,3,2,2,7,3,3,4,6.2,11,7.0,8,6.5,0,,3.0,0,,2,4.5,1,8.0,0,,5.7,0,,27,6.3,19.0,3,8.0,9,7.4,7,6.4,0,,7.1,6,7.8,9,5.7,13,6.6
20,3,1,10,0,1,0,3,2,7,6,7,5,7.6,19,8.2,7,7.6,0,,5.0,0,,4,6.0,1,8.0,0,,5.3,0,,37,7.9,25.0,4,8.5,15,8.5,6,7.5,0,,8.3,13,7.9,9,6.7,15,8.1
20,4,2,2,0,0,1,5,4,4,5,3,4,7.5,14,6.4,6,6.3,0,,3.0,0,,2,4.5,1,8.0,0,,5.7,0,,26,6.5,20.0,3,7.3,12,6.8,5,6.2,0,,6.7,7,6.9,10,6.2,13,6.3
20,5,3,4,1,1,2,2,5,2,4,3,7,6.9,13,6.1,4,6.5,0,,4.0,1,6.0,2,4.5,1,8.0,0,,5.8,0,,27,6.3,19.0,5,7.8,11,6.5,3,6.0,0,,6.9,8,7.1,9,6.8,10,5.9
20,1,1,5,0,2,0,2,1,9,11,4,6,7.8,17,7.7,8,7.6,0,,9.0,0,,7,6.7,2,9.0,0,,7.3,0,,35,7.4,21.0,5,8.2,10,8.1,6,7.2,0,,7.9,7,8.1,13,7.2,17,7.3
19,20,2,6,0,2,3,4,5,3,2,1,4,4.5,12,6.4,5,5.5,0,,1.0,0,,1,1.0,0,,0,,1.0,0,,28,6.3,19.0,3,4.3,11,6.9,5,5.5,0,,6.1,3,6.3,13,5.3,16,5.5
19,19,2,1,1,0,1,8,4,1,2,1,2,7.5,9,4.8,4,6.2,0,,1.0,0,,1,1.0,0,,0,,1.0,0,,21,5.4,14.0,1,8.0,8,5.2,4,6.2,0,,5.9,3,5.3,8,4.9,10,5.4
19,18,1,6,0,0,0,5,9,6,1,2,3,6.3,17,7.2,5,6.4,0,,2.0,0,,2,3.5,0,,0,,3.5,0,,30,6.9,22.0,2,6.0,15,7.5,5,6.4,0,,7.0,5,7.8,11,6.2,18,6.3
19,16,1,8,0,0,3,3,6,5,2,2,5,7.8,14,6.7,6,7.5,0,,4.0,1,10.0,2,3.5,1,10.0,0,,6.8,0,,30,7.1,20.0,3,7.3,12,7.2,5,7.1,0,,7.1,5,6.6,14,7.1,17,6.8
19,13,3,5,0,0,2,4,5,7,3,1,4,6.2,14,6.6,8,6.9,0,,6.0,0,,3,6.0,3,6.3,0,,5.2,0,,30,6.4,19.0,3,6.0,11,6.8,5,7.1,0,,6.9,7,6.9,11,6.1,17,6.5
